Tamil Nadu,Ariyalur,Andimadam,Ilaiyur E,Elaiyur,11.2333000,79.3150000,Dug Well,3.00
Tamil Nadu,Ariyalur,Andimadam,Koovathur (N),Kattathur Dw,11.3069000,79.3494000,Dug Well,1.35
Tamil Nadu,Ariyalur,Andimadam,Koovathur (N),Thandalai,11.2978000,79.3775000,Dug Well,2.60
Tamil Nadu,Ariyalur,Andimadam,Olaiyur,Periyathukurichi,11.4100000,79.3328000,Dug Well,2.55
Tamil Nadu,Ariyalur,Andimadam,Rangiyam,Chidambaram,11.3833000,79.3833000,Dug Well,3.00
Tamil Nadu,Ariyalur,Jayamkondam,Jayakondasolapuram,Jayankondam Dw,11.2128000,79.3644000,Dug Well,3.15
Tamil Nadu,Ariyalur,Jayamkondam,Pappakudi(N),Pappakudi Dw,11.2853000,79.4900000,Dug Well,3.16
Tamil Nadu,Ariyalur,Jayamkondam,Periyavalayam,G.K.Cholapuram,11.2111000,79.3958000,Dug Well,3.40
Tamil Nadu,Ariyalur,T.Palur,Manakethi,Manahothi,11.1394000,79.2378000,Dug Well,3.10
Tamil Nadu,Ariyalur,Thirumanur,Kelaiyur,Kilpazhavur,11.0333000,79.0500000,Dug Well,1.70
Tamil Nadu,Chengalpattu,Chithamur,Atcharappakkam,Acharapakkam1,12.4000000,79.8167000,Dug Well,2.60
Tamil Nadu,Chengalpattu,Chithamur,Sunambedu,Chunamedu,12.2583000,79.9083000,Dug Well,2.10
Tamil Nadu,Chengalpattu,Kattankolathur,Chengalpattu(Natham,Chenglepet1,12.7000000,79.9750000,Dug Well,3.10
"",,,A),,,,,
Tamil Nadu,Chengalpattu,Kattankolathur,Kattankolathur,Kattangulathur,12.8138890,80.0333330,Dug Well,3.10
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Chengalpattu,Kattankolathur,Kozapakkam(Oonaman,Kolapakkam,12.8686000,80.1103000,Dug Well,3.20
"",,,jeri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Anagaputthur,Anakkaputhur,12.9833000,80.1250000,Dug Well,2.60
Tamil Nadu,Chengalpattu,Kundrathur,Mannivakkam,Mudichur Periurban,12.8919000,80.0689000,Dug Well,1.80
Tamil Nadu,Chengalpattu,Kundrathur,Nanthivaram(Guduvan,Guduvancheri,12.8417000,80.0667000,Dug Well,2.85
"",,,cheri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Nanthivaram(Guduvan,Guduvancheri Pz,12.8417000,80.0667000,Bore Well,3.70
"",,,cheri),,,,,
Tamil Nadu,Chengalpattu,Kundrathur,Thiruneermalai,Thiruneermalai,12.9628000,80.1131000,Dug Well,5.20
"",,,,Periurban,,,,
Tamil Nadu,Chengalpattu,Madurantakam,Karunkuzi,Madurantagam1,12.5292000,79.9000000,Dug Well,3.50
Tamil Nadu,Chengalpattu,Madurantakam,Porur,Kolathanallur,12.3472000,79.9083000,Dug Well,2.30
Tamil Nadu,Chengalpattu,Thirukalukundram,Mamallapuram,Mahabalipuram,12.6250000,80.1917000,Dug Well,3.10
Tamil Nadu,Chengalpattu,Thirukalukundram,Mamandur,Mamandur1,12.6500000,79.9417000,Bore Well,1.60
Tamil Nadu,Chengalpattu,Thirukalukundram,Puthupattinam(Solaiku,Sadras,12.5203000,80.1517000,Dug Well,6.50
"",,,ppam),,,,,
Tamil Nadu,Chengalpattu,Thiruporur,Muttukadu,Muttukadu,12.8219000,80.2406000,Dug Well,4.50
Tamil Nadu,Chengalpattu,Thiruporur,Pudupakkam,Thiruporur,12.8083000,80.1875000,Bore Well,2.80
Tamil Nadu,Chengalpattu,Thiruporur,Thirupporur,Tiruporur,12.7292000,80.1917000,Dug Well,3.10
Tamil Nadu,Chengalpattu,Thiruporur,Thirupporur,Tiruporur Pz,12.7200000,80.1850000,Bore Well,2.80
Tamil Nadu,Chengalpattu,Thomas Malai,Chitlapakkam(Kadaperi,Chitlapakkam,12.9406000,80.1375000,Dug Well,2.50
"",,,),,,,,
Tamil Nadu,Chengalpattu,Thomas Malai,Chitlapakkam(Kadaperi,Tambaram1,12.9333000,80.1333000,Dug Well,2.30
"",,,),,,,,
Tamil Nadu,Chengalpattu,Thomas Malai,Hasthinapuram,Hasthinapuram,12.9431000,80.1478000,Dug Well,2.50
Tamil Nadu,Chengalpattu,Thomas Malai,Irumbuliyur,Perungulathur,12.9167000,80.1083000,Bore Well,2.10
Tamil Nadu,Chengalpattu,Thomas Malai,Jameen Pallavaram,Chrompet,12.9514000,80.1392000,Dug Well,2.10
Tamil Nadu,Chengalpattu,Thomas Malai,Madambakkam,Agaram2,12.8875000,80.1486000,Dug Well,3.00
Tamil Nadu,Chengalpattu,Thomas Malai,Moovarasampattu,Kilkattalai,12.9622000,80.1842000,Dug Well,3.10
STATE/UT,DISTRICT,TEHSIL/BLOCK,VILLAGE NAME,SITE NAME,LATITUDE,LONGITUDE,WELL SITE TYPE,WATER
"",,NAME,,,,,,LEVEL
"",,,,,,,,(mbgl)
Tamil Nadu,Chengalpattu,Thomas Malai,Ponmar,Ponmar,12.8556000,80.1694000,Dug Well,3.20
Tamil Nadu,Chengalpattu,Thomas Malai,St.Thomas Mount,Pallavaram,12.9728000,80.1544000,Dug Well,3.00
Tamil Nadu,Chengalpattu,Thomas Malai,Thirisulam,Meenambakkam1,12.9722000,80.1736000,Dug Well,3.20
Tamil Nadu,Chengalpattu,Thomas Malai,Thiruneermalai,Nagalkeni,12.9575000,80.1261000,Dug Well,1.80
Tamil Nadu,Chengalpattu,Thomas Malai,Vengaivaasal,Vengaivasal,12.9003000,80.1711000,Dug Well,7.90
Tamil Nadu,Chennai,Chennai,Egmore (Part 2),Egmore,13.0747000,80.2625000,Dug Well,3.20
Tamil Nadu,Chennai,Chennai,Kodambakkam (Part 2),K.K.Nagar,13.0417000,80.2083000,Dug Well,3.00
Tamil Nadu,Chennai,Chennai,Mylapore (Part 2),Adayar Dw,13.0192000,80.2678000,Dug Well,3.20
Tamil Nadu,Chennai,Chennai,Mylapore (Part 2),Alwarpet,13.0250000,80.2583000,Dug Well,3.15
Tamil Nadu,Chennai,Chennai,Perambur (Part 3),Vyasarpadi Dw,13.1000000,80.2500000,Dug Well,4.20
Tamil Nadu,Chennai,Chennai,Purasawalkam (Part 2),Vepery,13.0833000,80.2708000,Dug Well,2.90
Tamil Nadu,Chennai,Chennai,Saidapet,Guindy (Clri) Pz,13.0222000,80.2250000,Bore Well,1.40
Tamil Nadu,Chennai,Chennai,Thiruvanmiyur,Elegant Flat Dw,12.9828000,80.2636000,Dug Well,3.80
Tamil Nadu,Chennai,Chennai,Thiruvanmiyur,Kalakshetra,12.9875000,80.2639000,Dug Well,2.50
